Domain,GeneratedName,SourceRoots,LCS,JaroWinkler,Levenshtein,IsDictionaryWord,Brandability,Pronounceability
forge,Broki,"brooklyn, ai",0.38,0.84,4,false,80,100
forge,Tormep,"trompe",0.17,0.90,4,false,80,100
forge,Railes,"ariel",0.17,0.81,4,true,80,100
forge,Acecar,"accrease",0.25,0.84,5,false,80,100
forge,Byznat,"byzantium",0.33,0.88,5,false,80,100
forge,Dorpof,"dropforge",0.22,0.80,6,false,80,100
forge,Siytit,"stithy",0.50,0.72,4,false,80,100
forge,Abathy,"abbatie, stithy",0.50,0.80,3,false,80,100
forge,Cacip,"accipient",0.33,0.79,6,false,80,100
forge,Lebowa,"elbow",0.50,0.88,3,false,80,100
forge,Arebal,"arbela",0.33,0.91,3,false,80,100
forge,Baelit,"balt",0.33,0.91,2,false,80,100
forge,Boroky,"brooklyn",0.25,0.88,4,false,80,100
forge,Cnosut,"constructivism",0.07,0.73,10,false,80,100
forge,Aclailt,"acclaimer, balt",0.44,0.81,4,false,80,100
forge,Tuyres,"tuyere",0.50,0.88,2,false,80,100
forge,Nliltan,"nill",0.29,0.80,4,false,80,100
forge,Frogden,"forged",0.14,0.86,4,false,80,100
forge,Lantas,"alaunt",0.33,0.72,4,false,80,100
forge,Falisy,"falsify",0.43,0.93,2,false,80,100
forge,Lebwos,"elbow",0.17,0.81,4,false,80,100
forge,Afelis,"false",0.17,0.78,4,false,80,100
forge,Obedig,"bodge",0.17,0.78,4,false,80,100
forge,Refrogn,"reforge",0.43,0.89,3,false,80,100
forge,Aracid,"arcadian",0.25,0.84,4,false,80,100
forge,Caecar,"accrease",0.13,0.75,6,false,80,100
forge,Toerim,"trombe",0.17,0.72,5,false,80,100
forge,Truxtyn,"tuyere",0.14,0.59,5,false,80,100
forge,Faibar,"fabricate",0.22,0.82,5,false,80,100
forge,Acrei,"accrease, ai",0.38,0.81,3,false,80,100
forge,Mapihe,"amphitheatre",0.17,0.72,8,false,80,100
forge,Alanut,"alaunt",0.50,0.96,2,false,80,100
forge,Tiwera,"twire",0.17,0.83,3,false,80,100
forge,Torem,"trompe",0.17,0.83,4,false,80,100
forge,Vlucnan,"vulcan",0.29,0.86,3,false,80,100
forge,Raceh,"archer",0.17,0.81,4,false,80,100
forge,Lantasn,"alaunt",0.29,0.68,5,false,80,100
forge,Belment,"belemnite",0.33,0.91,4,false,80,100
forge,Forega,"forgeman",0.38,0.90,3,false,80,100
